id,name,active
buques__0250,MSC VANESSA,true
buques__0251,MSC VIDHI,true
buques__0252,MSC VIGO,true
buques__0253,MSC VITTORIA,true
buques__0254,MUNICH MAERSK,true
buques__0255,MY NY,true
buques__0256,NAVIGARE COLLECTOR ,true
buques__0257,NAVIOS FELICITAS,true
buques__0258,NAXOS,true
buques__0259,NELSON,true
buques__0260,NORASIA ALYA,true
buques__0261,NORDIC MACAU,true
buques__0262,NORTHERN DIPLOMAT,true
buques__0263,NORTHERN GENERAL,true
buques__0264,NORTHERN POWER,true
buques__0265,NORTHERN PRACTISE,true
buques__0266,NYK CLARA,true
buques__0267,NYK DANIELLA,true
buques__0268,NYK LAURA,true
buques__0269,NYK MARIA,true
buques__0270,NYK REMUS,true
buques__0271,OAKLAND EXPRESS,true
buques__0272,OLIVIA 1,true
buques__0273,OLIVIA I,true
buques__0274,OSAKA TOWER,true
buques__0275,PACON,true
buques__0276,PALENA,true
buques__0277,POLAR ARGENTINA,true
buques__0278,POLAR BRASIL,true
buques__0279,POLAR CHILE,true
buques__0280,POLAR COSTA RICA,true
buques__0281,POLAR ECUADOR,true
buques__0282,POLAR MEXICO,true
buques__0283,REPUBLICA DEL BRASILE,true
buques__0284,RHODOS,true
buques__0285,RIO BLACKWATER,true
buques__0286,RIO GRANDE EXPRESS,true
buques__0287,RIO NEGRO,true
buques__0288,ROBIN 4,true
buques__0289,ROTTERDAM,true
buques__0290,S SANTIAGO,true
buques__0291,SAFMARINE BENGUELA,true
buques__0292,SAN ANTONIO EXPRESS,true
buques__0293,SAN FELIX,true
buques__0294,SANTA VANESSA,true
buques__0295,SANTA VIOLA,true
buques__0296,SCORPIUS,true
buques__0297,SEALAND ILLINOIS,true
buques__0298,SEALAND MICHIGAN,true
buques__0299,SEALAND WASHINGTON,true
buques__0300,SEAMAX DARIEN,true
buques__0301,SEASOAN BRAVO,true
buques__0302,SEASPAN BEAUTY,true
buques__0303,SEASPAN BEAUTY,true
buques__0304,SEASPAN BRAVO,true
buques__0305,SEASPAN LAHORE,true
buques__0306,SEASPAN SAIGON,true
buques__0307,SEATRADE RED,true
buques__0308,SEATTLE EXPRESS,true
buques__0309,SEROJA TIGA,true
buques__0310,SHUN FENG,true
buques__0311,SIEM CICERO,true
buques__0312,SINAR SABANG,true
buques__0313,SM CHARLESTON,true
buques__0314,STADT JENA,true
buques__0315,STINA,true
