id,country,active,name,code,category,note
port_0047,base.br,true,Belem,BRPAA,Puerto,.
port_0048,base.gb,true,Belfast,UKBFT,Puerto,.
port_0049,base.bz,true,Belize,UKBEZ,Puerto,.
port_0050,base.br,true,Bello Horizonte,BRHOR,Puerto,.
port_0051,base.mx,true,Benito Juarez,MXBJZ,Puerto,.
port_0052,base.fr,true,Biarritz,FRBRZ,Puerto,.
port_0053,base.es,true,Bilbao,SPBBO,Puerto,.
port_0054,base.gb,true,Birminghan,UKBIR,Puerto,.
port_0055,base.co,true,Bogota,COBGT,Puerto,.
port_0056,base.it,true,Bolonia,ITBOL,Puerto,.
port_0057,base.in,true,Bombay,INBQM,Puerto,.
port_0058,base.cu,true,Boqueron,CUCMN,Puerto,.
port_0059,base.us,true,Boston,USBOQ,Puerto,.
port_0060,base.gb,true,Boston UK,UKBOS,Puerto,.
port_0061,base.fr,true,Boulogne-Sur-Mer,FRBSM,Puerto,.
port_0062,base.de,true,Bremen,GEBMN,Puerto,.
port_0063,base.de,true,Bremerhaven,GEBHV,Puerto,.
port_0064,base.it,true,Brescia,ITBRE,Puerto,.
port_0065,base.fr,true,Brest,FRBES,Puerto,.
port_0066,base.gb,true,Brighton,UKBIG,Puerto,.
port_0067,base.it,true,Brindisi,ITBIB,Puerto,.
port_0068,base.au,true,Brisbane,ASBBN,Puerto,.
port_0069,base.gb,true,Bristol,UKBRI,Puerto,.
port_0070,base.us,true,Brooklyn,USBBD,Puerto,.
port_0071,base.my,true,Brunei Town,MYBNU,Puerto,.
port_0072,base.be,true,Brussels,BEBXL,Puerto,.
port_0073,base.lr,true,Buchanan,LIBCH,Puerto,.
port_0074,base.co,true,Buenaventura,COBFA,Puerto,.
port_0075,base.ar,true,Buenos Aires,ARBAI,Puerto,.
port_0076,base.br,true,Cabedello,BRCBL,Puerto,.
port_0077,base.cl,true,Cabo Negro,CICNX,Puerto,.
port_0078,base.es,true,Cadiz,SPCAZ,Puerto,.
port_0079,base.fr,true,Caen,FRCNQ,Puerto,.
port_0080,base.it,true,Cagliari,ITCGI,Puerto,.
port_0081,base.fr,true,Calais,FRCAL,Puerto,.
port_0082,base.in,true,Calcutta,INCAT,Puerto,.
port_0083,base.cr,true,Caldera,CSCDR,Puerto,.
port_0084,base.ar,true,Caleta Cordoba,ARCDB,Puerto,.
port_0085,base.ar,true,Caleta Olivia,AROLV,Puerto,.
port_0086,base.co,true,Cali,COCAL,Puerto,.
port_0087,base.pe,true,Callao,PECAO,Puerto,.
port_0088,base.ec,true,Callo,ECPQY,Puerto,.
port_0089,base.ar,true,Campana,ARCMA,Puerto,.
port_0090,base.mx,true,Campeche,MXCCE,Puerto,.
port_0091,base.uy,true,Canelones,UYCAN,Puerto,.
port_0092,base.fr,true,Cannes,FRCNN,Puerto,.
port_0093,base.gh,true,Cape Coast,GHCPC,Puerto,.
port_0094,base.za,true,Cape Town,SFCTO,Puerto,.
port_0095,base.ve,true,Caracas,VECCV,Puerto,.
port_0096,base.gb,true,Cardiff,UKCDF,Puerto,.
port_0097,base.uy,true,Carmelo,UYCAR,Puerto,.
port_0098,base.ar,true,Carmen De Patagones,ARCDP,Puerto,.
port_0099,base.uy,true,Carrasco,UYCAO,Puerto,.
port_0100,base.uy,true,Carro Largo,UYCAL,Puerto,.
port_0101,base.co,true,Cartagena,COCGA,Puerto,.
